,0,Team
117,"
Preseason Odds:
Championship +25000, Over-Under 
            40.5
          
",UTA
118,"
Arena: 
    Vivint Smart Home Arena
  

  
    Attendance:
    734,806 (15th of 30)
  
",UTA
119,"NBA 2018 Playoffs:
Won NBA Western Conference First Round (4-2) versus Oklahoma City Thunder
 (Series Stats)Lost NBA Western Conference Semifinals (1-4) versus Houston Rockets
 (Series Stats)",UTA
120,"
Record:
    
      28-54, Finished 12th in NBA 
     Eastern Conference    
    
    
    
    
",BRK
121,Coach: Kenny Atkinson (28-54),BRK
122,Executive: Sean Marks,BRK
123,"
PTS/G: 
      106.6 (14th of 30)
      Opp PTS/G: 
      110.3 (28th of 30)
    ",BRK
124,"
SRS: -3.67 (24th of 30)
      
      Pace: 98.9 (6th of 30)
    ",BRK
125,"
Off Rtg: 106.9 (21st of 30)
      Def Rtg: 110.6 (22nd of 30)
    ",BRK
126,"
Expected W-L: 31-51 (24th of 30)
    ",BRK
127,"
Preseason Odds:
Championship +250000, Over-Under 
            27.5
          
",BRK
128,"
Arena: 
    Barclays Center
  

  
    Attendance:
    640,010 (29th of 30)
  
",BRK
129,Nets Franchise Index,BRK
130,"
Record:
    
      36-46, Finished 10th in NBA 
     Eastern Conference    
    
    
    
    
",CHO
131,Coach: Steve Clifford (36-46),CHO
132,"Executive: Rich Cho, Mitch Kupchak",CHO
133,"
PTS/G: 
      108.2 (10th of 30)
      Opp PTS/G: 
      108.0 (19th of 30)
    ",CHO
134,"
SRS: 0.07 (18th of 30)
      
      Pace: 98.4 (8th of 30)
    ",CHO
135,"
Off Rtg: 109.4 (13th of 30)
      Def Rtg: 109.1 (16th of 30)
    ",CHO
136,"
Expected W-L: 42-40 (17th of 30)
    ",CHO
137,"
Preseason Odds:
Championship +50000, Over-Under 
            42.5
          
",CHO
138,"
Arena: 
    Spectrum Center
  

  
    Attendance:
    671,404 (26th of 30)
  
",CHO
139,Hornets Franchise Index,CHO
140,"
Record:
    
      48-34, Finished 4th in NBA 
     Western Conference    
    
    
    
    
",OKC
141,Coach: Billy Donovan (48-34),OKC
142,Executive: Sam Presti,OKC
143,"
PTS/G: 
      107.9 (12th of 30)
      Opp PTS/G: 
      104.4 (10th of 30)
    ",OKC
144,"
SRS: 3.42 (6th of 30)
      
      Pace: 96.7 (17th of 30)
    ",OKC
145,"
Off Rtg: 110.7 (7th of 30)
      Def Rtg: 107.2 (9th of 30)
    ",OKC
146,"
Expected W-L: 50-32 (7th of 30)
    ",OKC
147,"
Preseason Odds:
Championship +2150, Over-Under 
            53.5
          
",OKC
148,"
Arena: 
    Chesapeake Energy Arena
  

  
    Attendance:
    746,322 (13th of 30)
  
",OKC
149,"NBA 2018 Playoffs:
Lost NBA Western Conference First Round (2-4) versus Utah Jazz
 (Series Stats)",OKC
150,"
Record:
    
      25-57, Finished 14th in NBA 
     Eastern Conference    
    
    
    
    
",ORL
151,Coach: Frank Vogel (25-57),ORL
152,Executive: Jeff Weltman,ORL
