,0,Team,Real Team Name,Cleaned Blurb
95,"
Off Rtg: 108.9 (22nd of 30)
      Def Rtg: 108.1 (8th of 30)
    ",ORL,Orlando Magic,Off Rtg: 108.9 (22nd of 30) Def Rtg: 108.1 (8th of 30)
96,"
Record:
    
      19-63, Finished 15th in NBA 
     Western Conference    
    
    
    
    
",PHO,Phoenix Suns,"Record: 19-63, Finished 15th in NBA Western Conference"
97,Coach: Igor Kokoskov (19-63),PHO,Phoenix Suns,Coach: Igor Kokoskov (19-63)
98,"Executive: James Jones, Trevor Bukstein",PHO,Phoenix Suns,"Executive: James Jones, Trevor Bukstein"
99,"
PTS/G: 
      107.5 (23rd of 30)
      Opp PTS/G: 
      116.8 (28th of 30)
    ",PHO,Phoenix Suns,PTS/G: 107.5 (23rd of 30) Opp PTS/G: 116.8 (28th of 30)
100,"
SRS: -8.61 (28th of 30)
      
      Pace: 100.5 (12th of 30)
    ",PHO,Phoenix Suns,SRS: -8.61 (28th of 30) Pace: 100.5 (12th of 30)
101,"
Off Rtg: 105.9 (28th of 30)
      Def Rtg: 115.1 (29th of 30)
    ",PHO,Phoenix Suns,Off Rtg: 105.9 (28th of 30) Def Rtg: 115.1 (29th of 30)
102,"
Record:
    
      39-43, Finished 9th in NBA 
     Western Conference    
    
    
    
    
",SAC,Sacramento Kings,"Record: 39-43, Finished 9th in NBA Western Conference"
103,Coach: Dave Joerger (39-43),SAC,Sacramento Kings,Coach: Dave Joerger (39-43)
104,Executive: Vlade Divac,SAC,Sacramento Kings,Executive: Vlade Divac
105,"
PTS/G: 
      114.2 (9th of 30)
      Opp PTS/G: 
      115.3 (26th of 30)
    ",SAC,Sacramento Kings,PTS/G: 114.2 (9th of 30) Opp PTS/G: 115.3 (26th of 30)
106,"
SRS: -0.81 (18th of 30)
      
      Pace: 103.1 (5th of 30)
    ",SAC,Sacramento Kings,SRS: -0.81 (18th of 30) Pace: 103.1 (5th of 30)
