,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
434,Zaza Pachulia,CENTER,33,GOLDEN STATE WARRIORS,69,972,17,0.612,0.004,0.352,11,25,18.5,15.2,1.9,1.4,19.1,17,1.8,1.4,3.3,0.161,-0.7,0.7,0,0.5
435,Marcus Paige,POINT GUARD,24,CHARLOTTE HORNETS,5,28,9.1,0.403,0.571,0.143,0,15.7,7.7,16.1,0,0,0,23,0,0,0,-0.006,-5.6,-3.2,-8.8,0
436,Georgios Papagiannis,CENTER,20,SACRAMENTO KINGS,16,118,10.7,0.415,0,0,11.1,24.2,17.4,11.5,0.9,4.8,16.3,18.7,-0.2,0.1,0,-0.018,-4.7,-1,-5.6,-0.1
437,Georgios Papagiannis,CENTER,20,PORTLAND TRAIL BLAZERS,1,4,58.1,1,0,0,27.5,0,13.6,0,24.9,0,0,11,0,0,0.1,0.675,20.2,19.7,39.9,0
438,Jabari Parker,POWER FORWARD,22,MILWAUKEE BUCKS,31,743,17.1,0.55,0.244,0.163,6.6,17.1,11.9,13.1,1.7,1.2,11.2,24.4,0.6,0.6,1.2,0.08,0.9,-1.7,-0.8,0.2
439,Tony Parker,POINT GUARD,35,SAN ANTONIO SPURS,55,1071,12.7,0.498,0.095,0.201,0.7,9.2,4.9,28.2,1.3,0.1,13.9,20.5,0.4,1.1,1.4,0.065,-2.3,-0.9,-3.3,-0.3
440,Chandler Parsons,SMALL FORWARD,29,MEMPHIS GRIZZLIES,36,691,13.6,0.578,0.517,0.115,2.3,13,7.5,16.4,1.3,1.5,12.5,18.3,0.7,0.4,1.1,0.077,1.2,-0.4,0.8,0.5
441,Patrick Patterson,POWER FORWARD,28,OKLAHOMA CITY THUNDER,82,1270,10,0.555,0.643,0.173,2.7,14.6,8.4,6.1,1.9,1.6,10.3,10.8,1.2,1.4,2.6,0.098,-1.2,1,-0.2,0.6
442,Justin Patton,CENTER,20,MINNESOTA TIMBERWOLVES,1,4,19.8,0.5,0,0,0,0,0,0,12.5,0,0,22.1,0,0,0,0.151,-2.2,5.4,3.2,0
443,Brandon Paul,SHOOTING GUARD,26,SAN ANTONIO SPURS,64,576,7.4,0.504,0.425,0.339,1.1,12,6.5,9,2.2,1,16.6,13.6,-0.3,0.8,0.5,0.045,-5.1,1.6,-3.5,-0.2
444,Chris Paul,POINT GUARD,32,HOUSTON ROCKETS,58,1847,24.4,0.604,0.475,0.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,7.5,2.7,10.2,0.265,5.2,1.8,7.1,4.2
445,Adreian Payne,POWER FORWARD,26,ORLANDO MAGIC,5,43,18.8,0.831,0.3,0.6,5.1,18,11.5,0,2.3,0,13.7,15,0.1,0,0.2,0.203,1.8,0.6,2.4,0
446,Cameron Payne,POINT GUARD,23,CHICAGO BULLS,25,582,14,0.498,0.423,0.074,3.2,9.8,6.4,29.9,2.2,1.4,14,19.3,0.3,0.4,0.8,0.063,-0.1,-0.3,-0.4,0.2
447,Elfrid Payton,POINT GUARD,23,ORLANDO MAGIC,44,1257,18.1,0.564,0.146,0.249,4.1,11.2,7.6,35.5,2.5,1,18.3,21.8,1.6,1.1,2.7,0.104,1,0.1,1.1,1
448,Elfrid Payton,POINT GUARD,23,PHOENIX SUNS,19,551,13.1,0.481,0.12,0.258,3.2,16.3,9.7,33.7,1.7,0.9,18.8,22.1,-0.2,0.3,0.1,0.009,-2.1,-1.1,-3.2,-0.2
449,Gary Payton II,POINT GUARD,25,MILWAUKEE BUCKS,12,106,7.6,0.437,0.364,0.091,4.4,14.3,9.4,12.2,1.4,0.8,8,15.9,0,0.1,0,0.016,-4.6,-0.7,-5.3,-0.1
450,Gary Payton II,POINT GUARD,25,LOS ANGELES LAKERS,11,115,11.8,0.447,0.317,0.146,8.4,16.5,12.5,15.1,1.7,1.4,8.4,17.6,0,0.1,0.2,0.063,-2.5,-0.1,-2.6,0
451,Kendrick Perkins,CENTER,33,CLEVELAND CAVALIERS,1,15,8.4,0.521,0,1,0,7.4,3.7,17.3,3.3,0,25.8,11.4,0,0,0,0.026,-4.3,2.1,-2.2,0
452,London Perrantes,POINT GUARD,23,CLEVELAND CAVALIERS,14,66,0.7,0.23,0.231,0.385,1.7,5,3.4,9.4,1.5,1.3,6.2,10.9,-0.1,0,-0.1,-0.086,-8.3,-0.9,-9.2,-0.1
453,Alec Peters,POWER FORWARD,22,PHOENIX SUNS,20,225,10.7,0.523,0.784,0.135,3.7,14,8.8,7.9,0.4,0.7,4.9,15.5,0.2,0,0.3,0.055,-0.5,-2.3,-2.8,0
454,Marshall Plumlee,CENTER,25,MILWAUKEE BUCKS,8,52,10.9,0.697,0,5.333,9,29.2,19.2,4.8,0,1.6,23,11.3,0.1,0,0.2,0.143,-3.9,-0.6,-4.5,0
455,Mason Plumlee,CENTER,27,DENVER NUGGETS,74,1439,16.9,0.586,0.003,0.486,10.4,20.9,15.6,14.4,1.7,4.7,18.7,16.6,1.8,1.8,3.6,0.12,-1,1.4,0.5,0.9
456,Miles Plumlee,CENTER,29,ATLANTA HAWKS,55,918,10.6,0.574,0,0.333,9.4,18.3,13.9,7.2,0.9,2.8,23.4,12.8,0.1,0.7,0.9,0.046,-3.7,-0.1,-3.8,-0.4
457,Jakob Pöltl,CENTER,22,TORONTO RAPTORS,82,1524,17.5,0.662,0.005,0.263,12.4,16.4,14.4,5.4,1.3,5.2,16.6,14.8,3.1,2.4,5.6,0.175,-0.7,1.1,0.4,0.9
458,Quincy Pondexter,SMALL FORWARD,29,CHICAGO BULLS,23,196,4,0.398,0.449,0.347,4.2,10.8,7.4,6.3,2,0.9,16.3,15,-0.3,0.1,-0.2,-0.047,-7,-0.4,-7.4,-0.3
459,Otto Porter,SMALL FORWARD,24,WASHINGTON WIZARDS,77,2432,18.3,0.602,0.354,0.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,5,3.1,8.1,0.161,2.6,1,3.5,3.4
460,Bobby Portis,POWER FORWARD,22,CHICAGO BULLS,73,1643,19.7,0.548,0.275,0.192,10,23,16.2,13.2,1.5,1.3,10.5,26,2,1.5,3.5,0.101,2.2,-1.3,0.8,1.2
461,Kristaps Porziņģis,POWER FORWARD,22,NEW YORK KNICKS,48,1553,20.4,0.539,0.256,0.309,4.4,18.1,11.3,6.2,1.1,6.4,8.4,31,1.4,1.8,3.2,0.099,1.9,-0.1,1.8,1.5
462,Dwight Powell,CENTER,26,DALLAS MAVERICKS,79,1672,18.8,0.656,0.195,0.43,8.7,21.3,14.7,8.5,2,1.7,10.3,15.5,4.6,2.1,6.6,0.191,0.6,1,1.6,1.5
463,Norman Powell,SHOOTING GUARD,24,TORONTO RAPTORS,70,1062,8.5,0.492,0.497,0.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,-0.6,1.2,0.6,0.027,-3.2,0.2,-2.9,-0.3
464,Alex Poythress,POWER FORWARD,24,INDIANA PACERS,25,104,7.8,0.5,0.423,0,7.7,10.8,9.2,2.6,1.4,0.9,7.1,12,0.1,0.1,0.1,0.066,-3.8,-1.3,-5.1,-0.1
465,Jacob Pullen,POINT GUARD,28,PHILADELPHIA 76ERS,3,6,-2.3,0.5,0.5,0,0,0,0,0,0,0,33.3,21.3,0,0,0,-0.21,-8.3,-4.4,-12.7,0
466,Rodney Purvis,SHOOTING GUARD,23,ORLANDO MAGIC,16,290,4.5,0.423,0.486,0.14,0.4,9.9,5.1,8.5,0.5,0.8,8.1,18.7,-0.4,0.1,-0.3,-0.056,-6.1,-2.1,-8.2,-0.5
467,Zhou Qi,CENTER,22,HOUSTON ROCKETS,18,124,1.9,0.295,0.594,0.375,5.5,14.4,10,2.1,0.8,9.6,21.2,16.8,-0.5,0.2,-0.3,-0.104,-10.3,0.2,-10.1,-0.3
468,Tim Quarterman,SHOOTING GUARD,23,HOUSTON ROCKETS,3,13,2.9,0.515,0.667,0.667,0,25.8,13,10.6,0,0,34,20,0,0,0,-0.083,-8.5,-1.2,-9.7,0
469,Ivan Rabb,POWER FORWARD,20,MEMPHIS GRIZZLIES,36,516,16.6,0.599,0,0.237,11.6,24.1,17.7,10.4,1.2,2.4,17.3,17.7,0.7,0.5,1.2,0.109,-0.9,-1.2,-2,0
470,Julius Randle,CENTER,23,LOS ANGELES LAKERS,82,2190,19.9,0.606,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,4,2.6,6.6,0.145,0.6,0,0.6,1.4
471,Zach Randolph,POWER FORWARD,36,SACRAMENTO KINGS,59,1508,17.3,0.529,0.193,0.14,7,23.7,15,14.9,1.4,0.6,12.5,27.6,0.3,1.2,1.5,0.048,0.5,-1.5,-1,0.4
472,Xavier Rathan-Mayes,SHOOTING GUARD,23,MEMPHIS GRIZZLIES,5,118,0.9,0.315,0.333,0.214,0,5,2.5,23,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-0.171,-9.9,-1.6,-11.5,-0.3
473,J.J. Redick,SHOOTING GUARD,33,PHILADELPHIA 76ERS,70,2116,15.9,0.614,0.523,0.248,0.5,8.3,4.5,15.1,0.8,0.2,9.6,21.7,4.8,1.8,6.6,0.15,2.2,-1.1,1.1,1.7
474,Davon Reed,SHOOTING GUARD,22,PHOENIX SUNS,21,242,4.8,0.388,0.5,0.158,0.9,16.6,8.6,7.6,2,0.7,11,16,-0.5,0.2,-0.3,-0.06,-5.8,-0.6,-6.4,-0.3
475,Willie Reed,CENTER,27,LOS ANGELES CLIPPERS,39,419,19.4,0.669,0.017,0.458,9.3,22,15.7,3.3,1,4.4,11.6,16.8,1,0.5,1.5,0.171,0.6,0.2,0.8,0.3
476,Willie Reed,CENTER,27,DETROIT PISTONS,3,9,8.8,1,0,0,0,12.5,6.1,15.9,0,0,0,4.9,0,0,0,0.187,-5.3,2.6,-2.7,0
477,Josh Richardson,SMALL FORWARD,24,MIAMI HEAT,81,2689,13.6,0.551,0.38,0.16,2.9,9,6,13.2,2.3,2.4,12.9,18.2,1.8,3.5,5.4,0.096,-0.6,1.3,0.7,1.8
478,Malachi Richardson,SHOOTING GUARD,22,SACRAMENTO KINGS,25,319,5.8,0.445,0.443,0.25,1.7,10.4,5.9,5.7,1.6,0.3,9.3,15.2,-0.2,0.1,-0.1,-0.016,-5,-1,-6,-0.3
479,Malachi Richardson,SHOOTING GUARD,22,TORONTO RAPTORS,1,5,10.5,0.5,0.5,0,0,22,11.2,0,0,0,0,17.5,0,0,0,0.045,-5.6,-3,-8.6,0
480,Austin Rivers,SHOOTING GUARD,25,LOS ANGELES CLIPPERS,61,2057,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,1.4,1,2.4,0.056,-0.3,-0.9,-1.2,0.4
481,Andre Roberson,SHOOTING GUARD,26,OKLAHOMA CITY THUNDER,39,1037,10.9,0.543,0.222,0.235,7.8,12.2,9.9,6,2.2,3.1,14.4,8.6,0.8,1.3,2.2,0.1,-1.9,1.8,-0.1,0.5
482,Devin Robinson,SMALL FORWARD,22,WASHINGTON WIZARDS,1,13,10.5,0.333,0,0,17.4,26,21.7,0,3.8,0,0,10.2,0,0,0,0.098,-4.2,2.1,-2.1,0
483,Glenn Robinson III,SMALL FORWARD,24,INDIANA PACERS,23,338,10.8,0.529,0.4,0.129,3.7,8.6,6.2,6.8,1.9,0.3,5.3,12.5,0.4,0.3,0.6,0.088,-1.2,0.4,-0.7,0.1
484,Rajon Rondo,POINT GUARD,31,NEW ORLEANS PELICANS,65,1705,15.3,0.522,0.304,0.093,2,14.2,8.4,42.2,2,0.5,22.7,16.9,1.9,1.7,3.6,0.101,0,-0.4,-0.3,0.7
485,Derrick Rose,POINT GUARD,29,CLEVELAND CAVALIERS,16,308,11.6,0.523,0.182,0.311,3.7,6.8,5.3,13,0.5,1.1,15.7,25.6,-0.1,0,-0.1,-0.014,-1.8,-3.5,-5.4,-0.3
486,Derrick Rose,POINT GUARD,29,MINNESOTA TIMBERWOLVES,9,112,11.2,0.463,0.111,0.093,3.1,3.1,3.1,15.2,1.8,0,11.1,25,-0.1,0,-0.1,-0.029,-2.9,-2.6,-5.5,-0.1
487,Terrence Ross,SHOOTING GUARD,26,ORLANDO MAGIC,24,600,9.9,0.505,0.487,0.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,-0.2,0.5,0.3,0.025,-2.8,0.1,-2.7,-0.1
488,Terry Rozier,POINT GUARD,23,BOSTON CELTICS,80,2068,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.9,1.2,2.1,2.1
489,Ricky Rubio,POINT GUARD,27,UTAH JAZZ,77,2254,15.4,0.537,0.33,0.307,2.2,15.3,8.8,28.4,2.7,0.4,18.1,22.9,1.5,3.8,5.3,0.112,-0.7,1.5,0.7,1.6
490,D'Angelo Russell,POINT GUARD,21,BROOKLYN NETS,48,1234,15.2,0.509,0.414,0.195,2.6,13.8,8.1,35.7,1.4,1,16.8,30.8,-0.5,0.9,0.4,0.014,0.8,-2,-1.2,0.3
491,Domantas Sabonis,CENTER,21,INDIANA PACERS,74,1810,17.5,0.567,0.056,0.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,2.5,2.2,4.7,0.126,-0.6,-0.5,-1.1,0.4
492,JaKarr Sampson,SMALL FORWARD,24,SACRAMENTO KINGS,22,344,13.9,0.585,0.123,0.198,6.7,19.7,12.9,3.9,1.2,6.1,8.3,12.5,0.4,0.4,0.8,0.114,-2.3,1.1,-1.2,0.1
493,Dario Šarić,POWER FORWARD,23,PHILADELPHIA 76ERS,78,2310,15.8,0.582,0.448,0.233,7.5,16.4,12.1,13,1.1,0.7,13.1,20.9,3.8,2.8,6.6,0.137,1.8,-0.5,1.3,1.9
494,Tomáš Satoranský,SHOOTING GUARD,26,WASHINGTON WIZARDS,73,1643,15.4,0.615,0.263,0.25,5,11.1,8,24.8,1.6,0.8,16.3,13.7,3.7,1.3,5,0.145,0.8,0.5,1.2,1.3
495,Dennis Schröder,POINT GUARD,24,ATLANTA HAWKS,67,2078,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.2,1.7,0.2,12.7,30.4,1.5,1,2.6,0.059,1.2,-1.9,-0.6,0.7
496,Mike Scott,POWER FORWARD,29,WASHINGTON WIZARDS,76,1406,13.6,0.599,0.311,0.145,4,15.8,9.9,9.1,0.8,0.6,12.4,20,1.4,1,2.5,0.085,-0.6,-1.1,-1.7,0.1
497,Thabo Sefolosha,SMALL FORWARD,33,UTAH JAZZ,38,806,15.8,0.591,0.35,0.225,4.1,18.4,11.3,6.3,3.2,1.3,10.2,16.4,1,1.6,2.6,0.156,0.2,2.5,2.7,0.9
498,Wayne Selden,SHOOTING GUARD,23,MEMPHIS GRIZZLIES,35,692,11.8,0.551,0.454,0.219,2.6,6.8,4.7,16,1.3,0.7,15.5,22.6,0.1,0.2,0.3,0.023,-0.9,-2.2,-3.1,-0.2
499,Ramon Sessions,POINT GUARD,31,NEW YORK KNICKS,13,167,6.2,0.403,0.208,0.283,0.7,11.2,6,21.9,2.1,0.5,20.1,19.5,-0.3,0.1,-0.2,-0.065,-5.3,0,-5.4,-0.1
500,Ramon Sessions,POINT GUARD,31,WASHINGTON WIZARDS,15,225,14.9,0.533,0.234,0.656,2.5,7.5,5,31.1,1.5,0.4,15.4,19.1,0.4,0.1,0.5,0.116,-0.1,-1.5,-1.6,0
501,Iman Shumpert,SHOOTING GUARD,27,CLEVELAND CAVALIERS,14,276,6.4,0.48,0.448,0.259,2.9,13.6,8.3,8.1,1.6,1.2,19.9,12.9,-0.2,0.2,0,-0.006,-3.4,0,-3.3,-0.1
502,Pascal Siakam,POWER FORWARD,23,TORONTO RAPTORS,81,1679,14.5,0.549,0.265,0.175,5.4,18.6,12.1,13.5,1.8,2,11.1,15.7,2.1,2.5,4.7,0.133,-0.3,1.6,1.3,1.4
503,Xavier Silas,SHOOTING GUARD,30,BOSTON CELTICS,2,7,-4.9,0,0.667,0,15.8,15.4,15.6,0,7.1,0,0,19.1,-0.1,0,0,-0.25,-11.7,3.5,-8.1,0
504,Ben Simmons,POINT GUARD,21,PHILADELPHIA 76ERS,81,2732,20,0.557,0.011,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,4.2,5,9.2,0.162,2,2.5,4.5,4.5
505,Jonathon Simmons,SHOOTING GUARD,28,ORLANDO MAGIC,69,2029,12.7,0.555,0.268,0.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22,0.8,1.1,1.9,0.045,-1.7,-1.3,-3.1,-0.5
506,Kobi Simmons,POINT GUARD,20,MEMPHIS GRIZZLIES,32,643,7.7,0.49,0.206,0.132,2.5,6.6,4.5,16.5,1.4,0.7,18,17,-0.4,0.2,-0.2,-0.013,-4.7,-2.1,-6.9,-0.8
507,Kyle Singler,SMALL FORWARD,29,OKLAHOMA CITY THUNDER,12,59,5.9,0.43,0.238,0.619,1.8,17.5,9.4,4.8,0.8,0,10.1,21.6,-0.1,0,0,-0.031,-5,-1.6,-6.7,-0.1
508,Marcus Smart,SHOOTING GUARD,23,BOSTON CELTICS,54,1614,10.8,0.479,0.483,0.258,3,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,0.056,-2.1,1,-1.2,0.3
509,Dennis Smith Jr.,POINT GUARD,20,DALLAS MAVERICKS,69,2049,12.8,0.473,0.331,0.188,2.6,11.8,7,29.5,1.7,0.8,14.9,28.9,-2.4,1.7,-0.7,-0.017,-1.2,-1.2,-2.4,-0.2
510,Ish Smith,POINT GUARD,29,DETROIT PISTONS,82,2043,15.4,0.525,0.126,0.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2,4.4,0.102,-0.3,0.3,0,1
511,J.R. Smith,SHOOTING GUARD,32,CLEVELAND CAVALIERS,80,2244,8.4,0.534,0.64,0.094,1.5,10.1,5.9,8.6,1.5,0.4,11.6,13.8,0.6,0.9,1.4,0.031,-2.1,-0.9,-3,-0.6
512,Jason Smith,CENTER,31,WASHINGTON WIZARDS,33,285,8.8,0.455,0.278,0.183,7.2,13.9,10.5,7.4,0.5,4,11.4,21.7,-0.2,0.3,0,0.003,-5.4,-1,-6.4,-0.3
513,Josh Smith,POWER FORWARD,32,NEW ORLEANS PELICANS,3,12,3.5,0.25,0,0,28.1,8.7,18.1,0,0,0,0,14.4,0,0,0,-0.013,-8.4,-6.2,-14.6,0
514,Tony Snell,SHOOTING GUARD,26,MILWAUKEE BUCKS,75,2053,8.5,0.578,0.631,0.113,0.5,7.5,4,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1
515,Marreese Speights,CENTER,30,ORLANDO MAGIC,52,675,13.7,0.539,0.668,0.158,3.4,18.4,10.8,9.8,0.6,2.6,9.7,26.9,0.1,0.5,0.6,0.045,0.2,-1.4,-1.1,0.1
516,Nik Stauskas,SHOOTING GUARD,24,PHILADELPHIA 76ERS,6,45,0.9,0.41,0.25,0.5,0,2.3,1.2,2.7,4.3,0,45,8.4,-0.1,0.1,0,-0.044,-8.2,2.3,-5.9,0
517,Nik Stauskas,SHOOTING GUARD,24,BROOKLYN NETS,35,478,9.8,0.547,0.66,0.18,0.9,13.2,7,11.9,0.5,0.6,12,16.7,0.2,0.2,0.4,0.038,-0.6,-1.3,-2,0
518,Lance Stephenson,SHOOTING GUARD,27,INDIANA PACERS,82,1850,12.4,0.495,0.327,0.179,3.8,22,12.9,18.6,1.2,0.8,14.6,21.6,-0.2,2,1.8,0.046,-1.5,-0.3,-1.8,0.1
519,David Stockton,POINT GUARD,26,UTAH JAZZ,3,9,33.9,1.05,1,1.333,0,0,0,0,0,0,17.4,28.8,0.1,0,0.1,0.459,6.7,1.1,7.9,0
520,Julyan Stone,SHOOTING GUARD,29,CHARLOTTE HORNETS,23,175,7.6,0.684,1,0.154,0.6,17.6,9,19.2,1.1,1,33.5,5.2,0.2,0.2,0.3,0.087,-3.2,1.9,-1.3,0
521,Edmond Sumner,POINT GUARD,22,INDIANA PACERS,1,2,39.8,1,0,0,0,56.1,28.2,0,0,0,0,22.3,0,0,0,0.425,-2.4,9.3,6.9,0
522,Caleb Swanigan,POWER FORWARD,20,PORTLAND TRAIL BLAZERS,27,189,7.5,0.449,0.133,0.3,8.7,22.3,15.6,10.8,1.3,1.3,20.9,20,-0.3,0.3,0,-0.003,-6.6,1.2,-5.5,-0.2
523,Jayson Tatum,SMALL FORWARD,19,BOSTON CELTICS,80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,0.139,0,1.2,1.2,2
524,Isaiah Taylor,POINT GUARD,23,ATLANTA HAWKS,67,1167,10.9,0.492,0.205,0.362,2.1,6.9,4.5,27,1.4,0.7,15.7,20.1,0.2,0.5,0.6,0.027,-3.1,-1.3,-4.4,-0.7
525,Jeff Teague,POINT GUARD,29,MINNESOTA TIMBERWOLVES,70,2311,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4
526,Marquis Teague,POINT GUARD,24,MEMPHIS GRIZZLIES,3,74,5.7,0.302,0.25,0.313,1.5,8,4.7,24.7,2.7,0,14.2,12.9,-0.1,0,-0.1,-0.038,-5.4,-0.4,-5.7,-0.1
527,Mirza Teletović,POWER FORWARD,32,MILWAUKEE BUCKS,10,159,13.5,0.623,0.789,0,2.2,14.7,8.5,9.5,1.3,0.5,10.9,18.2,0.2,0.1,0.3,0.09,2.1,-1.7,0.4,0.1
528,Garrett Temple,SHOOTING GUARD,31,SACRAMENTO KINGS,65,1615,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-2.2,-0.3,-2.5,-0.2
529,Miloš Teodosić,POINT GUARD,30,LOS ANGELES CLIPPERS,45,1134,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1,0.4,20.3,18.2,0.9,0.5,1.4,0.058,-0.3,-1.5,-1.7,0.1
530,Jason Terry,SHOOTING GUARD,40,MILWAUKEE BUCKS,51,814,8.1,0.525,0.747,0.058,0.7,6.2,3.5,9.7,2.6,1.4,13.7,10.1,0.1,0.6,0.7,0.042,-2.6,0.6,-2,0
531,Daniel Theis,CENTER,25,BOSTON CELTICS,63,936,16.1,0.616,0.249,0.348,10.7,21.2,16,9.1,1.6,4.3,17.2,15.5,1.6,1.9,3.5,0.178,-2,2.3,0.3,0.5
532,Isaiah Thomas,POINT GUARD,28,CLEVELAND CAVALIERS,15,406,12.3,0.493,0.448,0.351,2,6.5,4.3,25.1,1.1,0.4,15.5,28.9,-0.1,0.1,-0.1,-0.008,-1.2,-3.6,-4.8,-0.3
533,Isaiah Thomas,POINT GUARD,28,LOS ANGELES LAKERS,17,456,12.8,0.52,0.445,0.278,2.4,6,4.2,28.8,0.6,0.2,17.5,28.7,0,0.2,0.2,0.024,-0.7,-4.2,-4.9,-0.3
534,Lance Thomas,POWER FORWARD,29,NEW YORK KNICKS,73,1353,6.3,0.513,0.464,0.199,3.6,10.7,7.2,4.2,1.1,0.9,12.1,10.7,0.3,0.6,0.9,0.031,-3.2,-0.5,-3.7,-0.6
535,Klay Thompson,SHOOTING GUARD,27,GOLDEN STATE WARRIORS,73,2506,16,0.598,0.442,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.1,1.8,4.9,0.094,1.7,-2.1,-0.4,1
536,Tristan Thompson,CENTER,26,CLEVELAND CAVALIERS,53,1072,13.6,0.569,0,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,1.8,0.7,2.5,0.113,-1,-1.9,-2.9,-0.2
537,Sindarius Thornwell,SHOOTING GUARD,23,LOS ANGELES CLIPPERS,73,1156,8.2,0.519,0.262,0.378,3.2,10,6.7,7.8,2,1.8,16.3,12.1,0.1,0.9,1,0.041,-3.4,1,-2.4,-0.1
538,Anthony Tolliver,POWER FORWARD,32,DETROIT PISTONS,79,1757,13.9,0.663,0.773,0.282,3.1,12.3,7.6,7.5,0.9,1.1,9.9,14.8,3.8,1.5,5.3,0.146,1.2,-0.3,0.9,1.3
539,Karl-Anthony Towns,CENTER,22,MINNESOTA TIMBERWOLVES,82,2918,24.9,0.646,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14,0.23,4.9,0.2,5.1,5.2
540,P.J. Tucker,POWER FORWARD,32,HOUSTON ROCKETS,82,2281,8.3,0.537,0.703,0.136,4.6,17.8,11.3,4.6,1.7,1,13.7,10.5,1,3,3.9,0.082,-1.9,0.8,-1.1,0.5
541,Evan Turner,SMALL FORWARD,29,PORTLAND TRAIL BLAZERS,79,2034,9.9,0.52,0.229,0.185,1.6,11.4,6.5,12.4,1.1,1.2,13.7,15.6,0.5,2.1,2.6,0.061,-2.9,0.4,-2.5,-0.3
542,Myles Turner,CENTER,21,INDIANA PACERS,65,1836,16.6,0.567,0.246,0.322,5.8,19.8,12.8,7,1,5.7,11.6,20,2.2,2.5,4.7,0.122,-0.6,0.4,-0.2,0.8
543,Ekpe Udoh,CENTER,30,UTAH JAZZ,63,810,15.2,0.56,0.008,0.467,9.6,11.4,10.5,9.1,2.7,7.7,12.1,9.1,1.3,1.8,3.2,0.187,-1.3,4.4,3.1,1.1
544,Tyler Ulis,POINT GUARD,22,PHOENIX SUNS,71,1658,10.1,0.465,0.265,0.183,1.5,6.8,4.1,28,2,0.3,17.6,18.5,-0.7,0.5,-0.2,-0.006,-3,-1.4,-4.4,-1
545,Jonas Valančiūnas,CENTER,25,TORONTO RAPTORS,77,1727,22.5,0.628,0.108,0.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,4.6,3,7.6,0.21,2.4,0,2.4,1.9
546,Denzel Valentine,SHOOTING GUARD,24,CHICAGO BULLS,77,2095,12.1,0.527,0.513,0.071,2.4,18.3,10.1,17.8,1.5,0.5,11.8,17.5,1,1.5,2.5,0.057,-1,0,-1,0.5
547,Fred VanVleet,POINT GUARD,23,TORONTO RAPTORS,76,1520,15.9,0.556,0.479,0.185,1.9,11.5,6.8,22.8,2.2,1,11.2,19.1,2.7,2,4.7,0.149,1.4,1,2.4,1.7
548,Rashad Vaughn,SHOOTING GUARD,21,MILWAUKEE BUCKS,22,173,11.1,0.56,0.7,0.12,1.4,10.1,5.8,9.9,1.2,1.5,7.1,14.8,0.2,0.1,0.3,0.073,-0.1,-1.2,-1.3,0
549,Rashad Vaughn,SHOOTING GUARD,21,BROOKLYN NETS,1,4,4.1,0,0,0,0,0,0,31.7,0,0,0,0,0,0,0,0.106,-5,-0.2,-5.3,0
550,Rashad Vaughn,SHOOTING GUARD,21,ORLANDO MAGIC,5,35,1.1,0.417,0.333,0,3.1,9.5,6.3,0,1.4,0,25,10.1,-0.1,0,-0.1,-0.07,-6.8,-2.2,-9,-0.1
551,Noah Vonleh,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,33,476,12,0.543,0.063,0.323,8.1,30,19.1,3.8,0.6,1.9,12,11.5,0.4,0.7,1.2,0.117,-1.5,0.6,-0.9,0.1
