,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
278,Mike James,POINT GUARD,27,NEW ORLEANS PELICANS,4,18,3.5,0.222,0.111,0,6.2,0,3,43.5,2.7,0,10,24.1,-0.1,0,-0.1,-0.146,-7.7,-2.4,-10.1,0
279,Al Jefferson,CENTER,33,INDIANA PACERS,36,484,20.2,0.563,0.014,0.173,7,26.2,16.7,10,1.7,4.2,8.6,22.5,0.8,0.8,1.6,0.158,0.6,1.5,2,0.5
280,Richard Jefferson,SMALL FORWARD,37,DENVER NUGGETS,20,163,6.4,0.499,0.259,0.259,1.4,10.3,5.9,12,0.6,0.5,14.3,9.4,0.1,0,0.1,0.029,-3.5,-0.8,-4.3,-0.1
281,Brandon Jennings,POINT GUARD,28,MILWAUKEE BUCKS,14,205,12.7,0.478,0.458,0.139,2.9,14.8,8.9,31.1,1.5,1.7,19.1,20.8,0,0.1,0.1,0.026,-1.2,-2.2,-3.4,-0.1
282,Jonas Jerebko,POWER FORWARD,30,UTAH JAZZ,74,1134,13.2,0.586,0.46,0.167,5.4,19.1,12.3,5.7,1.1,0.9,6.9,15.6,1.8,1.6,3.4,0.144,-0.4,0.4,0.1,0.6
283,Amir Johnson,CENTER,30,PHILADELPHIA 76ERS,74,1171,14.9,0.575,0.123,0.327,11.8,18.3,15.2,13.9,1.8,3.1,15.6,12.8,2.1,2,4.1,0.169,-1.2,2.2,1,0.9
284,Brice Johnson,POWER FORWARD,23,LOS ANGELES CLIPPERS,9,38,21.3,0.673,0.091,0.182,5.9,31.4,18.8,4,7.7,4.4,25.2,18,0,0.1,0.1,0.168,-2.2,6.8,4.5,0.1
285,Brice Johnson,POWER FORWARD,23,MEMPHIS GRIZZLIES,9,60,16.2,0.418,0,0.097,13.2,21.7,17.4,3,2.5,6.2,3,24.9,-0.1,0.1,0,0.028,-2,-1.6,-3.6,0
286,Dakari Johnson,CENTER,22,OKLAHOMA CITY THUNDER,31,161,16.4,0.575,0,0.513,10.7,12.8,11.7,7.2,1.8,4.5,5.9,13.5,0.4,0.2,0.6,0.178,-1.2,0.9,-0.3,0.1
287,James Johnson,POWER FORWARD,30,MIAMI HEAT,73,1943,15.8,0.575,0.301,0.264,3.5,17.2,10.3,22.5,1.8,2.2,17.1,19.1,2.2,2.8,5,0.123,0,1.6,1.6,1.7
288,Joe Johnson,SMALL FORWARD,36,UTAH JAZZ,32,700,9,0.492,0.372,0.106,2,15.2,8.7,9.8,0.9,0.7,11.6,17.2,-0.2,0.8,0.6,0.041,-2.3,-0.3,-2.6,-0.1
289,Joe Johnson,SMALL FORWARD,36,HOUSTON ROCKETS,23,505,6.8,0.485,0.455,0.157,0.5,13.9,7.3,10.7,0.6,0.2,11.2,14.1,0,0.4,0.4,0.038,-3.3,0,-3.3,-0.2
290,Omari Johnson,POWER FORWARD,28,MEMPHIS GRIZZLIES,4,75,10.5,0.524,0.571,0,6,11.1,8.5,14.5,1.3,0,12.5,14.4,0.1,0,0.1,0.053,-1.8,-2.7,-4.5,0
291,Stanley Johnson,SMALL FORWARD,21,DETROIT PISTONS,69,1894,9,0.48,0.418,0.259,1.9,13,7.3,8.5,2.5,0.7,11,16.4,-0.6,2.4,1.8,0.046,-4,1.1,-2.9,-0.4
292,Tyler Johnson,POINT GUARD,25,MIAMI HEAT,72,2052,13,0.549,0.456,0.181,1.9,11.7,6.8,12.4,1.5,1.4,9.5,18.6,1.9,2.3,4.2,0.097,-0.5,0.2,-0.3,0.9
293,Wesley Johnson,SMALL FORWARD,30,LOS ANGELES CLIPPERS,74,1486,9.8,0.512,0.481,0.158,2.2,13.6,8,5.6,2.5,3.5,12.3,13,-0.1,1.7,1.7,0.055,-2.5,1.7,-0.7,0.5
294,Nikola Jokić,CENTER,22,DENVER NUGGETS,75,2443,24.4,0.603,0.277,0.31,9,27.9,18.5,29.6,1.8,2.1,15.5,24.2,7.8,2.9,10.7,0.211,5.3,1.6,6.9,5.5
295,Damian Jones,CENTER,22,GOLDEN STATE WARRIORS,15,89,6.8,0.517,0,0.227,6.8,10.6,8.8,2.9,0.5,2.7,14.2,13.9,0,0.1,0.1,0.031,-5.3,-1.8,-7.1,-0.1
296,Derrick Jones Jr.,SMALL FORWARD,20,PHOENIX SUNS,6,33,18.4,0.678,0.5,1.5,6.4,6.6,6.5,12.3,1.5,9.8,13.1,9.8,0.1,0,0.1,0.177,2,2.8,4.8,0.1
297,Derrick Jones Jr.,SMALL FORWARD,20,MIAMI HEAT,14,212,8.8,0.457,0.327,0.367,10.1,8,9,4,0.7,3.6,9.5,13.3,0,0.2,0.3,0.059,-3.7,-0.2,-3.9,-0.1
298,Jalen Jones,SMALL FORWARD,24,NEW ORLEANS PELICANS,4,19,5,0.512,0.25,0.5,0,16.5,8.6,0,0,0,0,11.1,0,0,0,0.055,-4.3,-3,-7.3,0
299,Jalen Jones,SMALL FORWARD,24,DALLAS MAVERICKS,12,162,10.9,0.483,0.391,0.266,8.6,15.6,12,3.9,1.5,0.5,8.9,22,-0.1,0.1,0.1,0.024,-3.3,-2.6,-5.9,-0.2
300,Tyus Jones,POINT GUARD,21,MINNESOTA TIMBERWOLVES,82,1467,14.1,0.572,0.393,0.247,1.2,9.2,5.2,21.2,3.2,0.4,14,12.7,2.3,1.2,3.6,0.117,-0.8,1.7,0.8,1.1
301,DeAndre Jordan,CENTER,29,LOS ANGELES CLIPPERS,77,2424,20.2,0.648,0,0.54,15.1,37.6,26.5,7.1,0.8,2.4,16.1,15.2,6,3.4,9.4,0.186,1.7,-0.3,1.4,2.1
302,Cory Joseph,POINT GUARD,26,INDIANA PACERS,82,2210,11,0.503,0.315,0.156,2,11.4,6.7,16.1,1.8,0.7,11.9,14.8,1.2,2,3.1,0.068,-1.8,0.3,-1.5,0.3
303,Frank Kaminsky,POWER FORWARD,24,CHARLOTTE HORNETS,79,1835,14.4,0.545,0.383,0.271,2.7,14.5,8.5,11,1,0.9,7.6,20.5,2.3,1.3,3.6,0.094,0.6,-0.8,-0.2,0.8
304,Enes Kanter,CENTER,25,NEW YORK KNICKS,71,1830,24,0.63,0.003,0.258,16.6,30.6,23.6,9.4,1,1.7,13.3,21.8,5.5,2.1,7.6,0.198,3.3,-1.1,2.2,1.9
305,Luke Kennard,SHOOTING GUARD,21,DETROIT PISTONS,73,1463,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.085,-0.9,0.1,-0.8,0.5
306,Michael Kidd-Gilchrist,SMALL FORWARD,24,CHARLOTTE HORNETS,74,1850,12.5,0.536,0.004,0.305,4.8,13,8.8,5.9,1.3,1.4,7.7,16.1,1.7,1.6,3.3,0.084,-2.1,0,-2.1,-0.1
307,Sean Kilpatrick,SHOOTING GUARD,28,BROOKLYN NETS,16,183,4.9,0.414,0.494,0.218,0.6,19.9,10.2,12.6,0.5,0.4,14.4,26.3,-0.6,0.1,-0.4,-0.116,-5.3,-2.3,-7.6,-0.3
308,Sean Kilpatrick,SHOOTING GUARD,28,MILWAUKEE BUCKS,23,205,11.3,0.515,0.561,0.232,0.6,13.7,7.1,10.9,1.2,0.4,9.1,21.9,0,0.1,0.1,0.035,-1.3,-1.3,-2.6,0
309,Sean Kilpatrick,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,4,38,10.5,0.503,0.389,0.111,0,5.7,2.9,12.1,0,0,5,22.6,0,0,0,0.029,-0.8,-3.7,-4.5,0
310,Sean Kilpatrick,SHOOTING GUARD,28,CHICAGO BULLS,9,214,17.7,0.574,0.449,0.299,1.4,11.5,6.3,10.5,1.4,1.3,9,27.1,0.2,0.1,0.4,0.083,2.5,-1.2,1.3,0.2
311,Maxi Kleber,POWER FORWARD,26,DALLAS MAVERICKS,72,1206,13.4,0.576,0.414,0.191,6.3,15.6,10.8,6.4,1.1,3.5,8.2,13.7,1.6,1.2,2.8,0.113,-1,0.5,-0.5,0.5
312,Furkan Korkmaz,SHOOTING GUARD,20,PHILADELPHIA 76ERS,14,80,3.4,0.386,0.607,0.143,2.8,11.7,7.4,6.7,1.2,1,6.3,16.9,-0.1,0.1,0,-0.006,-6.6,-1,-7.6,-0.1
313,Luke Kornet,POWER FORWARD,22,NEW YORK KNICKS,20,326,13.6,0.516,0.632,0.088,3.8,18,10.9,11.6,0.9,4.2,8.5,19,0.2,0.3,0.5,0.077,0.4,-0.2,0.2,0.2
314,Kyle Korver,SHOOTING GUARD,36,CLEVELAND CAVALIERS,73,1574,13.4,0.652,0.777,0.149,0.7,10.9,5.9,8,1,1.5,9.6,16,2.8,0.6,3.4,0.104,1.5,-1.2,0.2,0.9
